date,link,title,description
2020-05-14,https://hamptonmoore.github.io/badUI/colorKeyboard/,Color based Keyboard,/r/badUI inspired keyboard
2020-09-05,https://www.tilde.club/~hamptonmoore/club/,Tilde Club Population,how many people are currently online?
2021-01-13,https://editor.p5js.org/herohamp/sketches/qiGgOjGPX,Hilbert Curve Animations,
2021-02-13,https://github.com/haylinmoore/ipodc,IP over Doggo Carrier,
2021-03-22,https://github.com/haylinmoore/sanitIRRy,sanitIRRy,enforce IRR filtering via RPKI
2021-10-26,https://github.com/haylinmoore/snowflake.cr,Snowflake.cr,a snowflake generator in crystal
2021-12-04,https://github.com/haylinmoore/QuoteBook,QuoteBook,SQLi vulnerable site for cyber-security workshops
2022-02-16,https://github.com/haylinmoore/thread-time,thread-time.rs,measuring cpu usage of threads in rust
2022-09-10,https://github.com/haylinmoore/minecraft-oauth,Minecraft Oauth,secure a minecraft server using oauth
2022-09-05,https://github.com/haylinmoore/jinja-bf,Brainfuck Interpreter written in Jinja,to solve a debate at work
2022-10-25,https://gaia.cs.umass.edu/~hrmoore/major_breakdown/,UMass Major Breakdown,explore student counts by major
2023-02-23,https://github.com/aristanetworks/telegraf-cloudvision,Telegraf Cloudvision,streaming Cloudvison data to Telegraf
2023-02-24,https://github.com/haylinmoore/bgp.exposed,bgp.exposed,a go based bgp filter tester
2023-06-13,https://hamy.cc/cities/,Cities,can you name enough US cities?
2023-08-04,https://github.com/haylinmoore/nornir-pyavd,Nornir-PyAVD,using nornir with Arista's PyAVD
2023-09-17,https://gaia.cs.umass.edu/~hrmoore/forwardsim/,ForwardSim,a javascript network simulator
2023-12-26,https://hamy.cc/puffle/,Puffle,interactive Club Penguin puffles
2024-01-20,https://github.com/umaring/umaring,UMass Ring,web-ring for UMass affiliated people 
2024-01-21,https://88x31.hayl.in/,88x31,Sprite based GIF generation library
2024-06-04,https://github.com/haylinmoore/dublinbikes,Collect usage metric from Dublin Bike Rental
2024-09-05,https://github.com/haylinmoore/obsidian-online-todo-sync,Pull Obsidian Todo Tasks from websources
2024-12-21,https://github.com/haylinmoore/dollpublish,Doll Publish,Moon-Server implementation allowing for self-hosted Obsidian Publish
2025-01-15,https://github.com/haylinmoore/drone-rollout-restart,drone-rollout-restart,fork that adds x86 support and uses upstream kubectl
2025-01-19,https://github.com/haylinmoore/drone-image-optimizer,drone-image-optimizer,a CI step for optimizing and caching optimized images
2025-03-09,https://github.com/haylinmoore/example-nix-plugin,example-nix-plugin,an example nix plugin for adding custom builtins
2025-05-29,https://github.com/haylinmoore/bloomcraft,bloomcraft,a custom substring search server for infinibrowser
